station_name,address,latitude,longitude,Open Hours
Indurkar S Charging Stations,"Flat NO.4 CTS NO.17826, Sushila \ANANT\APPT, Sanmitra Colony, Chhatrapati Sambhajinagar, Maharashtra 431001",19.16868019,72.95252228,
The Sustainer - EV Charger & Sustainability Solutions,"Suite # 307, Oriana Business Park Wagle Estate, Road no 22 Opp Passport Office, nr. Lodha Grandezza, Thane, Maharashtra",19.19077873,72.9523468,
GLIDA Charging Station,"Office No. 4, Ashar IT Park, Society, Road No. 16/Z, Wagle Estate, Neheru Nagar, Wagle Industrial Estate, Thane West, Thane, Maharashtra",19.18925285,72.95375824,
Kazam Charging Station,"Royal Palms Estate, Aarey Milk Colony, Goregaon, Mumbai, Maharashtra",19.15505028,72.8892746,
Volttic Charging Station,"5XWP+8J2, Kalwa West, Budhaji Nagar, Kalwa, Thane, Maharashtra",19.19757652,72.98819733,
Nissan Charging Station,"Tritan Dreams, Eastern Express Hwy, Near Shell Petrol Pump, Panch Pakhdi, Thane West, Thane, Maharashtra",19.19464684,72.96363831,
Evnnovator Charging Station,"Plot NO. 275-1, Ghodbunder Rd, nr. ST. Xevier's School, Patlipada, Thane West, Mumbai, Thane, Maharashtra",19.27131081,72.9648819,
Ather Grid Charging Station,"Adjacent to MG Showroom Shop No 16 B Dosti Imperia Opp R Mall, Thane West, Thane, Maharashtra",19.23299599,72.97605133,
ChargeZone x TATA.ev Charging Station,"Hotel Express Inn, NH 8, Versova, Mira Bhayandar, Maharashtra 401107",19.28362083,72.90537262,Open 24 hours
Electric Vehicle Charging Station,"Narmada, Vijaybaug Complex, Opp. Roshan Petrol Pump, Murbad Road, Kalyan (West), Maharashtra 421301",19.24253082,73.14825439,
Electric Vehicle Charging Station,"Gala No. 2 & 3, Near Harsh Residency, Next to Teavilla, Mira Bhayander Rd, Kashigaon, Mira Road, Mira Bhayandar, Maharashtra",19.28009796,72.88352966,
Fortum Charging Station,"Service Rd, Manpada, Thane West, Thane, Maharashtra",19.26621628,72.96681976,
Statiq Charging Station,"Hotel Classik, Kalyan-Shilpata Road, Manpada Village, Dombivali East, Dombivili, Maharashtra 421204",19.18923759,73.09385681,Open 24 hours
Electric Vehicle Charging Station,"Shop no.16, Sonal Link Bldg, Link Road, Mith Chowky, Malad West, Mumbai, Maharashtra",19.18545914,72.83454132,
Bolt.Earth Charging Station,"Shop 15-16, CHS, Mira Bhayandar Rd, Unique Gardens, Chandresh Accord, Gaurav City, Mira Road East, Thane, Mira Bhayandar, Maharashtra",19.28106689,72.87474823,
Tata Charging Station,"Jhankar Studio, Miragaon, Mira Road, Mira Bhayandar, Maharashtra",19.27129745,72.88031769,
Electric Vehicle Charging Station,"1337c, Sahyadri Nagar, Shanti Nagar, Nachane, Maharashtra",19.2761364,72.86515808,
Powerbank Charging Station,"7X98+P3R, Service Rd, Sai Nagar, Anand Nagar, Thane West, Thane, Maharashtra",19.25662804,72.8647995,
BOLT Charging Station,"S/o Ravindra Patil At Kurkundi Koltembhi, Alibag, Maharashtra",19.25094795,72.86540222,
Ather Charging Station,"Devidas Lane, Shanti Ashram Borivali West, Near St.Lawrence High School, Borivali, Mumbai, Maharashtra",19.23933983,72.84794617,
Adani Charging Station,"Building No. 1, On Plot Bearing C, TW Gardens, T.S. No. 809 A/1/19A/1/5 & 809A/1/19A/1/6 Of, At, Poisar, Kandivali East, Mumbai, Maharashtra",19.24187279,72.85744476,
Langschwert Electric Vehicle Charging Station Private Limited,"Flat NO A/605, Asmita Regency II Chsl, Naya Nagar, Station Road, Mira Road, Thane, Maharashtra 401107",19.28342056,72.86307526,
Electric Vehicle Charging Station,"Adharsha Nagar 1st Cross Rd, Aadarsh Nagar, Kurul, Kurul, Alibag, Maharashtra",19.306427,72.84905243,
EV Charging Solutions,"A1 Royal Palm Road, Mumbai, Maharashtra 400065",19.15712738,72.8772583,
Ather Grid Charging Station,"Parking ||, Lodha Fiorenza, On, Western Express Hwy, Adjacent to Hub Mall, Cama Industrial Estate, Goregaon, Mumbai, Maharashtra",19.18179321,72.86109161,
EVC Global Charging Station,"Palm Spring, New Link Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra",19.18636513,72.83399963,
"Electric Vehicle Charging Station | ATUM Charge, Malad","95, Malad, Vijaykar Wadi, Malad West, Mumbai, Maharashtra 400064",19.18081474,72.84690857,Open · Closes 21:00
Electrocon Consumer Electronic (I)P,"11 Raheja, 310 311, Mumbai, Maharashtra 400614",19.18169975,72.85626221,
Electric Vehicle Charging Station,"K 1-10299, Sanjay Gandhi Nagar, Dhobi Ghat, Opp, Shiv Shaka, Caves Road, Jogeshwari East, Mumbai, Maharashtra",19.13739967,72.85425568,
TruePower Charging Station,"Shop 1, Padmashree Building, Kailash Residency, MG Road, Narmadadevi Society, Mulund, Mulund West, Mumbai, Maharashtra",19.16061401,72.84521484,
Woocharging,"201 Film City Road, Mumbai, Maharashtra 400063",19.1645813,72.85749054,
Jio-Bp Pulse Charging Station,"Kandivali East Bus Depot, Kandivali, Govind Dalvi Nagar, Kandivali East, Mumbai, Maharashtra",19.20121193,72.8533783,
Electric Vehicle Charging Station,"Main Rd, Bordi, Maharashtra",19.89330864,75.38646698,
Tata Power Charging Station,"Malad Marve Road, New Mahakali Nagar, Malad West, Mumbai, Maharashtra 400095",19.19482803,72.82830811,
Ather Space - Electric Scooter Experience Center,"5RGP+8QM Shakti Premises, New Link Rd, Malad, Chincholi Bunder, Malad West, Mumbai, Maharashtra",19.17562675,72.83802795,Open · Closes 18:30
Volttic Charging Station,"Military Rd, Raje Shivaji Nagar, Marol, Andheri East, Mumbai, Maharashtra",19.11827469,72.88644409,
Electric Vehicle Charging Station,"Eco Space IT Park, New Nagardas Rd, Mogra Village, Mogra Pada, Natwar Nagar, Jogeshwari East, Mumbai, Maharashtra",19.12231445,72.84794617,
EV Cosmos Charging Station,"Hotel Vits Andheri Kurla Road, Sahar Airport Rd, Zone, Andheri East, Mumbai, Maharashtra",19.10002327,72.88378906,Open 24 hours
Electric Vehicle Charging Station,"Azad Ln, Junaid Nagar, Juhu Lane, Ganga Vihar, Andheri West, Mumbai, Maharashtra",19.11497688,72.83765411,
Fortum Charge & Drive India,"Antariksh House, 204, Mumbai City, Marol Makwana Road, Andheri, Mumbai, Maharashtra 400059",19.13999176,72.85530853,
ChargeZone Charging Station,"The Resorts & Spa Madh, Dharvali, Aksa Gaon, Mumbai, Maharashtra 400061",19.1744976,72.7967453,Open 24 hours
Ather Grid Charging Station,"SFC Megaa Mall, Mahatma Gandhi Rd, Station Chowk, Maharashtra",19.10451698,72.84645081,
Statiq Charging Station,"197, Kashibai Mahadev Marg, Shakti Nagar, Madhuban Colony, Sha, Andheri West, Mumbai, Maharashtra",19.12378502,72.83124542,
BPCL Charging Station,"AT.PO, Dhohale Village NH3, Near Walya Dhaba, Kachore Gaon, Thane, Dombivli, Maharashtra",19.20928764,73.11135101,
Tata Power Charging Station,"Kalyan Shilphata Road, Palava City, Kalyan, Maharashtra 421204",19.16458511,73.07421875,
"OLA Experience Centre, Kalyan East","Kohinoor Luxuria, Suchak Naka, Kalyan East Kalyan, Mumbai, Maharashtra",19.21594238,73.11433411,
EVOTPOINT - Best EV Charging Solutions Provider in India | Rooftop Solar Power Plant Supplier,"A1/13/2, Millenium Towers, Sector 9, Sanpada, Navi Mumbai, Maharashtra 400705",19.05839348,73.01322174,
Ather - Ulhasnagar pop up store,"Ailsinghani Chambers Ground Floor, Next to Meera NX Hospital, opp. to Vimal Car Zone, Ulhasnagar, Maharashtra",19.24007988,73.13697815,
Shell,"Kalyan - Shilphata Road, Dombivli, Maharashtra 421204",19.17805481,73.08692932,Open 24 hours
EV Dock Charging Station,"115, Uran Rd, Sector 32, Seawoods, Navi Mumbai, Maharashtra",19.02171898,73.02803802,
Kazam Charging Station,"Bharat Gas Agency Building, Jalvayu Rd, Sector 20, Kharghar, Navi Mumbai, Maharashtra",19.0502739,73.07478333,
"Tilt Electric Bike Stand, Palava Phase 2","Lakeshore Park, Palava Phase, 2, Khoni Pagadyacha Pada, Maharashtra",19.15833473,73.1202774,
Unified Innovative,"Casa Aurelia, Palava Phase, 2, Antarli, Maharashtra",18.4752388,73.84481049,
ChargeZone Charging Station,"Kashi Vihar Society, Plot no 28, Sector 19 Ulwe Wahal, Navi Mumbai, Maharashtra 410206",18.9961338,73.12255096,Open 24 hours
Bolt.Earth - Electric Vehicle Charging Station,"Manasarovar Complex, Shop No. 42, Hare Krishna Multi Car Services, Sector 34, Kamothe, Navi Mumbai, Maharashtra 410209",19.01830673,73.08579254,Open 24 hours
ChargeZone Charging Station,"Landmark-Nerul, Midc Industrial Area, Shiravane, Nerul, Navi Mumbai, Maharashtra 400706",19.04855728,73.03208923,Open 24 hours
ChargeZone Charging Station,"Hotel 7/12 Panvel - Palaspe, Palaspe, Panvel-Shirdhon, Panvel-Shirdhon, Mumbai - Goa Hwy, Panvel, Maharashtra 410221",18.9162941,73.12255096,Open 24 hours
Bolt.Earth Charging Station,"No. 2, Sai Angan, Fanaspada, Sector 19, CBD Belapur, Navi Mumbai, Maharashtra",19.01314163,73.03556824,
Ather Grid Charging Station,"Utsav Commercial Complex, Opp Jain Mandir, Khopoli, Microchip Computer Services, Mumbai, Maharashtra",19.06879616,73.022995,
Tata Power Charging Station,"No. 1, 1, Nirmaladevi Marg, Sector 30/31, Belapur Village, Sector 10, The Park, CBD Belapur, CBD बेलापुर, Belapur, Navi Mumbai, Maharashtra",19.02917099,73.03997803,
BPCL Charging Station,"NH4, NEW Highway Junction, Sector 18, Kalamboli, Panvel, Navi Mumbai, Maharashtra",19.06876564,73.0049057,
Ather,"Mumbai Pune Highway, Sector 1 Nerul, Mumbai, Maharashtra 400706",19.04949951,73.021698,
Dlink Authorized Service Center,"Unit No F-198, 1st Floor, Haware Fantasia Business Park, Plot No 47, Vashi, Navi Mumbai",19.07348251,72.98751068,
Jio-bp,"Plot No 7, Palm Beach Road, Sanpada, Sector 18, Navi Mumbai, Maharashtra 400706",19.05522919,73.00675964,Open 24 hours
Ansh Recharge Center,"252 Abhay Raghunath Thakur, Dhutum Maharashtra, Navi Mumbai, Maharashtra 400702",19.04047012,73.01005554,
Service Keeda,"Navi Mumbai Panipurvatha Vibhag Room Sarvadnya Shri Chakradhar Swami Marg, Navi Mumbai, Maharashtra 400706",19.03465843,73.02432251,
Chargebox Labs Llp,"Off No. 251, Plot No 19 And 20, Sector 19d, Palm Beach Rd, Thane, Maharashtra 400705",19.0912838,73.0164032,
"Tata Motors Cars Service Centre - Heritage Motors, Chitalsar Manpada","D4/5, Kothari Warehouse No 3, 27 Acres, Chitalsar Manpada, Thane, Maharashtra 400610",19.23407364,72.96749878,Open · Closes 19:00
TATA POWER Kolshet Receiving Station,"47, Garden Estate Pokhran Rd, Hill Garden, Kokanipada, Thane West, Thane, Maharashtra",19.22872543,72.97151184,
Shell,"Eastern Express Highway, Service Rd, Thane, Maharashtra 400602",19.19548607,72.9630661,Open 24 hours
Powerbank Charging Station,"8VHV+J9F, NH 48, Naigaon East, Sasunavghar, Maljipada, Maharashtra",19.36327171,72.88414001,
TATA Charging Station,"Nicholas Compound, Sativali Rd, Vasai East, Vasai-Virar, Maharashtra",19.41000557,72.83834076,
Tata Charging Station,"3 & 4 Rajprabha, Landmark Building, No. 6, Sativali Rd, Near Range Office, Golani Naka, Vasai East, Vasai-Virar, Maharashtra",19.40479279,72.85564423,
Statiq Charging Station,"Unity Mall, Stella Road, Bhabola, Vasai West, Vasai, Maharashtra 401002",19.35930443,72.81173706,Open 24 hours
Ēltron Technologies,"204, Jyot Dhir Industrial Complex, Raj Industrial Park, Gauraipada, Vasai East, Vasai, Maharashtra",19.37987137,72.83039093,
Ather Service Center,"Plot No.B, Midc, 55/56, Badnera Rd, New Sturna Nagar, Industrial Estate, Saturna, Amravati, Maharashtra",19.38694763,72.82550812,
Tata Power Charging Station,"Cqxp+R8V, Agashi Rd, Purapada, Bolinj, Virar West, Virar, Maharashtra",19.45948219,72.77928162,
Chakachak Batteries,"Gidraipada, Gala NO 1, GRD Floor, Palghar, Near Prakash Petrol, Pump, SatiVali Vasai East, Palghar, Maharashtra 401208",19.37649345,72.82633972,
Reliance Petroleum,"Survey No 13 & 14/3, Bhiwandi Kaman Rd, Devdhal, Thane, Maharashtra 401202",19.37941933,72.89870453,Open 24 hours
Electric Vehicle Charging Station,"H 25 Avenue, Evershine Globle City, Dongarpada, Rustomjee Global City, Virar West, Virar, Maharashtra",19.47687721,72.80569458,
E V Charging Station,"G No\434\435, Date Lawns, Mahiravani, Trimbak Road, Nashik, Maharashtra 422213",19.96571732,73.65842438,
ChargeZone Charging Station,"Jcjc+9P8, Shirol, Maharashtra 421602",19.63068771,73.42201996,Open 24 hours
Charge Zone Charging Station,"MWH5+G5M, Haloli, Maharashtra 401404",19.67868042,72.90771484,
Shell,"Taluka Panvel Nh 48, Old Nh4, Raig, Navi Mumbai, Maharashtra 410221",19.14548111,73.00148773,Open 24 hours
