User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Temperature (°C),Charger Type,User Type
User_60,MG Comet,100,Station_378,Mumbai,71.28000416,2.413754937,40.61639923,6.744728812,Evening,Wednesday,26.15659795,89.92458853,33.05773081,Level 2,Casual Driver
User_61,MG Comet,62,Station_97,Mumbai,21.82768818,2.082100007,26.50712322,36.0680415,Evening,Tuesday,33.25598509,51.50113227,38.65644396,Level 1,Casual Driver
User_63,Hyundai Kona,124.3159114,Station_87,Mumbai,46.195137,0.650507579,47.87752356,30.86418086,Afternoon,Sunday,53.00518533,59.90164627,6.171256709,Level 2,Commuter
User_66,TATA Tiago,62,Station_208,Mumbai,59.25460166,1.279620696,,12.2204383,Night,Thursday,77.03697399,91.82927487,35.27145069,Level 2,Long-Distance Traveler
User_70,TATA Tiago,50,Station_35,Mumbai,67.00568214,3.608030961,4.092360865,14.42396639,Night,Monday,57.67766075,57.11286225,-2.724902766,Level 1,Long-Distance Traveler
User_72,Hyundai Kona,75,Station_67,Mumbai,61.13047583,0.947277209,23.28180496,37.14898173,Evening,Saturday,34.89904375,92.35566117,7.662649709,DC Fast Charger,Long-Distance Traveler
User_75,Hyundai Kona,85,Station_34,Mumbai,69.16916706,2.285242161,5.557358509,20.76646441,Afternoon,Wednesday,41.08904487,74.39951853,20.01432447,Level 1,Casual Driver
User_79,TATA Tiago,100,Station_151,Mumbai,30.65169982,1.028818667,28.52235334,39.32205438,Evening,Friday,38.12132999,81.19721084,-4.932743443,DC Fast Charger,Casual Driver
User_80,TATA Tiago,75,Station_71,Mumbai,59.98647673,3.7293654,23.41792115,15.68301656,Afternoon,Wednesday,88.09676846,96.13056859,15.06062245,Level 1,Commuter
User_85,Punch.EV,50,Station_82,Mumbai,57.92445004,1.261117293,12.53816191,19.81732291,Morning,Friday,49.87203405,54.26143302,1.825449687,Level 1,Casual Driver
User_93,TATA Curvv,85,Station_224,Mumbai,65.43101691,0.929486554,20.27269894,10.39565797,Night,Sunday,76.46681164,75.84995703,30.19970956,DC Fast Charger,Long-Distance Traveler
User_113,Hyundai Kona,100,Station_448,Mumbai,36.137269,2.449346455,36.37707579,7.87091787,Night,Sunday,48.61219347,95.83119936,32.30733829,DC Fast Charger,Casual Driver
User_115,Punch.EV,85,Station_56,Mumbai,43.44537898,1.405889911,,34.67514514,Morning,Friday,55.70562012,52.80830823,19.86952895,Level 1,Casual Driver
User_120,MG Comet,63.09631665,Station_62,Mumbai,47.7140959,1.176839308,,15.35252653,Night,Wednesday,49.53760262,57.93745966,34.27808119,DC Fast Charger,Casual Driver
User_125,Punch.EV,75,Station_494,Mumbai,64.41904929,3.190013103,24.62165118,28.99874331,Evening,Friday,49.17384524,62.34186035,25.3204757,Level 1,Long-Distance Traveler
User_130,Hyundai Kona,50,Station_127,Mumbai,35.55367093,3.536754115,45.8556972,23.36793048,Night,Tuesday,85.49045253,74.66057198,26.1334068,Level 1,Commuter
User_132,Hyundai Kona,100,Station_114,Mumbai,36.61656862,3.358014647,27.32114694,11.58486923,Afternoon,Sunday,66.55511783,56.23715391,24.52303877,Level 2,Long-Distance Traveler
User_133,TATA Tiago,50,Station_199,Mumbai,65.48719596,2.06628138,37.57728956,31.14502051,Evening,Thursday,42.83535123,83.70937054,17.52272767,DC Fast Charger,Long-Distance Traveler
User_134,Hyundai Kona,85,Station_13,Mumbai,33.88719708,3.625604853,18.6042609,24.4683204,Night,Monday,40.14074747,63.34760038,-4.160747933,DC Fast Charger,Long-Distance Traveler
User_138,MG Comet,85,Station_444,Mumbai,30.0651389,1.267429956,35.87112113,35.03863445,Night,Friday,13.94832346,93.59847436,33.0181713,DC Fast Charger,Long-Distance Traveler
User_141,Punch.EV,100,Station_474,Mumbai,47.37743937,1.299527036,48.16033463,28.11485499,Morning,Monday,23.63676232,68.05817011,8.511630397,DC Fast Charger,Casual Driver
User_144,TATA Tiago,50,Station_74,Mumbai,78.69341922,2.856062565,36.56255637,7.639601311,Evening,Tuesday,38.19062073,82.43448923,12.73792455,Level 1,Long-Distance Traveler
User_146,TATA Tiago,85,Station_101,Mumbai,40.2483826,3.6354899,33.73226426,17.24311508,Night,Tuesday,45.0273134,77.80287971,38.96813601,DC Fast Charger,Commuter
User_155,TATA Curvv,50,Station_366,Mumbai,56.06879095,3.254362544,28.16853365,7.964297406,Afternoon,Monday,75.63146824,55.82273779,7.109435812,DC Fast Charger,Long-Distance Traveler
User_156,Punch.EV,62,Station_120,Mumbai,65.04979561,3.436820245,22.55945181,20.79767963,Night,Saturday,83.58728192,80.04211898,25.34429385,DC Fast Charger,Casual Driver
User_158,Hyundai Kona,50.87061708,Station_145,Mumbai,23.57128154,0.841961239,49.78371903,21.99640805,Night,Friday,51.07152573,79.00243297,-3.089617682,DC Fast Charger,Casual Driver
User_163,Hyundai Kona,85,Station_352,Mumbai,45.57396766,3.265855666,11.089827,34.02915242,Evening,Monday,45.7060602,87.23241205,-9.090468359,Level 2,Commuter
User_167,TATA Tiago,75,Station_137,Mumbai,54.6408791,3.249662139,19.70948849,18.84386067,Morning,Monday,27.0170636,85.53675893,12.62950128,Level 1,Commuter
User_170,TATA Tiago,85,Station_273,Mumbai,56.01783154,1.040974023,37.85307848,14.57709875,Evening,Monday,18.03729692,61.93129744,11.49275618,Level 1,Long-Distance Traveler
User_171,Punch.EV,85,Station_117,Mumbai,118.8974904,0.984549221,9.2864977,20.34244787,Night,Monday,27.64544589,90.29992273,18.40533315,Level 2,Casual Driver
User_173,MG Comet,75,Station_368,Mumbai,41.15701391,3.473821822,32.59959954,37.20674099,Night,Monday,68.79319057,75.66889916,27.90141336,DC Fast Charger,Casual Driver
User_175,TATA Tiago,50,Station_168,Mumbai,71.14274636,1.725136155,14.82991098,37.01632786,Afternoon,Saturday,73.16017409,75.75484663,17.42486706,DC Fast Charger,Long-Distance Traveler
User_181,Punch.EV,50,Station_183,Mumbai,21.82050637,0.856617261,97.3422547,13.09959827,Afternoon,Sunday,78.27386156,76.89957103,10.33600034,Level 1,Long-Distance Traveler
User_183,Punch.EV,62,Station_152,Mumbai,47.31460938,0.968976969,10.16337295,25.92447735,Afternoon,Sunday,40.48798797,98.82353364,23.72798354,Level 1,Casual Driver
User_189,Punch.EV,50,Station_496,Mumbai,63.62653233,2.040022115,9.986771923,35.02872012,Afternoon,Sunday,41.00608003,71.25331651,5.098606887,Level 1,Commuter
User_190,TATA Curvv,50,Station_212,Mumbai,8.349591228,2.312675062,47.48218949,19.7528686,Morning,Sunday,43.32205191,62.97068755,3.04969077,Level 1,Long-Distance Traveler
User_200,TATA Tiago,62,Station_132,Mumbai,13.48519533,2.665368482,29.87310551,27.32232283,Night,Monday,82.88645336,52.6525883,-5.680662911,DC Fast Charger,Commuter
User_207,Hyundai Kona,85,Station_108,Mumbai,70.99471727,0.776358498,12.56141232,13.17014202,Morning,Friday,72.89524753,68.05110318,4.756515892,Level 1,Long-Distance Traveler
User_209,TATA Tiago,89.03206383,Station_205,Mumbai,78.64289917,0.608975083,34.823951,31.44978444,Afternoon,Wednesday,74.34868091,50.72443431,21.9585411,Level 2,Commuter
User_211,TATA Curvv,85,Station_155,Mumbai,75.18617181,3.623184646,53.1747828,14.73538709,Evening,Tuesday,17.16005127,64.31018702,24.92336832,Level 1,Casual Driver
User_218,TATA Tiago,75,Station_436,Mumbai,15.27366667,2.865108393,5.37038419,7.629495458,Night,Friday,86.95322411,85.13643915,6.864161791,DC Fast Charger,Long-Distance Traveler
User_226,Punch.EV,50,Station_338,Mumbai,44.15948701,3.976851392,23.75243532,5.550200361,Morning,Thursday,81.45214551,89.2935832,-5.332773776,Level 1,Long-Distance Traveler
User_228,MG Comet,50,Station_181,Mumbai,20.46478094,3.64700851,18.59949061,7.674183155,Morning,Wednesday,18.13415171,56.11481332,25.42808821,Level 1,Casual Driver
User_233,TATA Tiago,120.5106328,Station_275,Mumbai,68.82528251,2.465336096,16.93561005,33.86154813,Afternoon,Monday,70.75160734,55.33183817,-1.966119085,Level 1,Commuter
User_235,Punch.EV,62,Station_492,Mumbai,22.57288245,2.168491761,41.5266716,9.084707242,Evening,Friday,18.85564766,98.32393365,1.565003654,DC Fast Charger,Long-Distance Traveler
User_252,TATA Tiago,100,Station_263,Mumbai,22.27571241,2.312877329,18.2090343,24.41374839,Morning,Wednesday,83.64021009,59.25917191,21.74994096,DC Fast Charger,Long-Distance Traveler
User_254,TATA Curvv,75,Station_302,Mumbai,61.11752874,2.710755713,28.40157855,20.04094214,Night,Sunday,28.7158913,52.96116986,-3.133508581,Level 2,Long-Distance Traveler
User_268,Punch.EV,75,Station_442,Mumbai,36.5318794,2.651650861,5.092837674,32.23995282,Evening,Sunday,80.02092861,75.52594739,11.30164247,DC Fast Charger,Long-Distance Traveler
User_274,TATA Tiago,50,Station_400,Mumbai,47.90409794,1.161237734,22.06190557,35.04175348,Night,Thursday,48.97534202,75.49040404,-2.996197815,Level 1,Commuter
User_277,Hyundai Kona,100,Station_71,Mumbai,79.00225971,3.893154871,26.97742286,11.28750438,Night,Friday,22.53375157,93.2978301,7.684356808,Level 2,Commuter
User_287,TATA Tiago,75,Station_121,Mumbai,51.62169093,1.303555581,43.16138737,28.15164637,Afternoon,Monday,22.78747904,58.66249439,7.936964701,Level 1,Casual Driver
User_290,TATA Tiago,75,Station_63,Mumbai,70.62045542,0.637026905,18.33554746,14.73821179,Morning,Saturday,25.72347164,99.5858146,-4.842996855,Level 1,Commuter
User_292,Punch.EV,75,Station_436,Mumbai,32.52486105,2.287496504,31.55315617,10.0360231,Evening,Thursday,23.42576753,83.74262074,25.92667701,DC Fast Charger,Long-Distance Traveler
User_293,Punch.EV,100,Station_68,Mumbai,78.3990561,0.531884804,29.75315871,34.30110996,Night,Sunday,49.66021029,83.24626253,-9.296045391,Level 1,Commuter
User_299,TATA Tiago,75,Station_108,Mumbai,23.99396127,3.26954211,32.93397056,20.65067387,Evening,Tuesday,87.85226345,75.36398823,5.918020657,Level 2,Long-Distance Traveler
User_305,TATA Curvv,100,Station_417,Mumbai,23.54038392,2.592597277,3.508161487,23.22008781,Evening,Thursday,17.17061425,39.31920167,14.53864932,Level 2,Casual Driver
User_308,TATA Tiago,85,Station_216,Mumbai,46.45478115,3.936570537,42.8384828,5.06404815,Morning,Tuesday,12.79308917,70.71797257,26.51176747,Level 1,Commuter
User_310,Hyundai Kona,100,Station_98,Mumbai,66.17491556,1.590891399,4.096052506,37.05502096,Night,Wednesday,57.51855751,59.21834421,12.62900175,DC Fast Charger,Casual Driver
User_316,MG Comet,50,Station_484,Mumbai,55.42091221,3.674410026,39.08038685,11.67802099,Morning,Thursday,74.61169024,62.05991728,-9.366179122,DC Fast Charger,Commuter
User_331,TATA Curvv,85,Station_276,Mumbai,14.50345514,2.240834005,37.65992488,11.91083137,Morning,Tuesday,51.14214596,99.98660421,12.24739891,Level 2,Commuter
User_335,TATA Tiago,62,Station_183,Mumbai,103.8126056,3.525445469,16.59138267,17.66922823,Night,Friday,52.79679327,89.35179211,8.330158356,Level 2,Casual Driver
User_338,TATA Tiago,62,Station_322,Mumbai,62.19283346,0.555210364,20.45251231,19.47699463,Morning,Saturday,24.3852456,88.82972948,14.27625134,DC Fast Charger,Long-Distance Traveler
User_345,MG Comet,85,Station_238,Mumbai,40.16142185,2.517973872,28.47996213,13.37000579,Evening,Wednesday,35.04453498,94.56359194,13.35438717,DC Fast Charger,Casual Driver
User_346,MG Comet,62,Station_134,Mumbai,42.51736092,0.929764657,39.91263736,7.234439777,Morning,Saturday,88.94643474,63.74334492,10.33319646,Level 2,Casual Driver
User_356,TATA Curvv,75,Station_222,Mumbai,10.45065783,1.428296234,39.8938261,32.560979,Afternoon,Wednesday,82.76444286,60.77776335,20.63494735,Level 2,Long-Distance Traveler
User_357,TATA Tiago,100,Station_373,Mumbai,30.805662,1.037860072,18.97988935,18.35319511,Night,Saturday,60.72720275,61.20655137,29.11438027,Level 2,Casual Driver
User_361,TATA Tiago,77.60847805,Station_480,Mumbai,73.09045077,1.754047947,30.38880381,9.595163794,Morning,Tuesday,29.66650146,99.85685077,2.594249726,DC Fast Charger,Casual Driver
User_362,TATA Tiago,75,Station_48,Mumbai,26.99234408,3.548983526,46.58137118,36.50047332,Morning,Monday,23.69485787,56.10531021,25.10961225,Level 2,Commuter
User_374,TATA Curvv,75,Station_11,Mumbai,52.90446367,1.546956035,15.57205559,18.54288394,Night,Saturday,89.8386107,97.49538047,32.57385369,Level 2,Long-Distance Traveler
User_382,Hyundai Kona,75,Station_293,Mumbai,43.4665651,3.61707816,23.22301592,17.85819103,Evening,Friday,70.60042408,89.35441576,33.1090396,Level 2,Long-Distance Traveler
User_387,MG Comet,50,Station_454,Mumbai,54.88401336,1.886770506,6.985136805,6.555981505,Night,Saturday,64.28041815,82.38389625,30.59387793,Level 1,Commuter
User_391,Punch.EV,75,Station_328,Mumbai,36.04757739,1.64577996,49.85189639,7.461577394,Evening,Tuesday,46.32842586,52.15170917,6.876897282,Level 2,Casual Driver
User_392,Hyundai Kona,62,Station_149,Mumbai,31.73575031,1.961957618,11.12987276,11.73930094,Evening,Wednesday,58.96875275,81.66823961,-9.56906362,Level 1,Casual Driver
User_393,Hyundai Kona,85,Station_377,Mumbai,64.53824697,3.970999801,17.56016007,32.97335649,Evening,Tuesday,17.18963766,57.13538346,12.32638948,Level 2,Commuter
User_400,MG Comet,75,Station_35,Mumbai,69.44996148,1.066206747,49.41673269,15.30724503,Morning,Thursday,27.56248159,63.29227669,37.89907159,Level 1,Casual Driver
User_404,Hyundai Kona,62,Station_266,Mumbai,79.46231191,2.895348986,25.41252017,18.27246951,Evening,Wednesday,28.46123084,49.09641538,32.53882053,DC Fast Charger,Long-Distance Traveler
User_412,MG Comet,50,Station_10,Mumbai,27.04710323,1.109637723,4.521631542,33.45756611,Afternoon,Monday,52.03296568,105.6169219,20.56538827,DC Fast Charger,Commuter
User_417,MG Comet,100,Station_446,Mumbai,5.650181738,0.639951451,11.66743821,25.63010191,Morning,Saturday,58.40045758,65.01799109,23.05944663,DC Fast Charger,Casual Driver
User_423,MG Comet,69.44504561,Station_4,Mumbai,72.71574853,0.682132432,32.25343212,28.11946156,Afternoon,Monday,28.89851962,57.73534409,4.485795959,DC Fast Charger,Commuter
User_424,MG Comet,85,Station_426,Mumbai,61.9271036,0.798403786,25.27459826,27.12255887,Morning,Wednesday,73.65740812,93.02610697,7.685197905,DC Fast Charger,Commuter
User_432,Punch.EV,62,Station_338,Mumbai,33.39817876,2.455006976,14.42092922,15.41312073,Morning,Tuesday,23.34413923,68.13930115,27.28334186,DC Fast Charger,Long-Distance Traveler
User_434,TATA Curvv,50,Station_19,Mumbai,74.54048486,3.591079873,16.93586894,28.37468743,Evening,Saturday,51.81491129,76.07639193,10.74680105,Level 2,Casual Driver
User_438,TATA Curvv,100,Station_330,Mumbai,76.49931987,3.007714522,37.44551098,31.94888427,Evening,Thursday,24.87475156,58.71010168,45.75334767,Level 2,Commuter
User_452,TATA Tiago,85,Station_250,Mumbai,63.83060875,2.45865252,38.13906947,6.759900462,Evening,Thursday,11.08354591,74.40527959,13.91915988,Level 2,Casual Driver
User_456,MG Comet,62,Station_228,Mumbai,65.18392769,2.408337112,38.57770533,33.18646283,Night,Saturday,17.72971756,82.7913617,17.14920107,Level 1,Commuter
User_460,TATA Curvv,75,Station_112,Mumbai,21.03051965,2.844416686,8.332992518,8.848458662,Night,Saturday,16.00498511,70.4098916,35.80057736,DC Fast Charger,Commuter
User_469,Punch.EV,39.29742253,Station_438,Mumbai,21.0022301,1.863435975,26.23272288,33.58178282,Night,Friday,32.2755592,58.86833854,37.19955857,Level 2,Commuter
User_478,Punch.EV,75,Station_20,Mumbai,34.80201788,0.852049798,16.59673018,28.32797875,Night,Wednesday,64.52432585,57.79820096,14.22429415,DC Fast Charger,Casual Driver
User_483,MG Comet,75,Station_129,Mumbai,41.95057477,1.020998814,39.2570047,21.59769815,Evening,Monday,89.07810182,96.16384199,11.05077489,DC Fast Charger,Commuter
User_488,TATA Curvv,62,Station_189,Mumbai,11.48343149,3.621537943,21.47990189,13.02678002,Night,Friday,35.53501681,91.07521077,-9.305817015,DC Fast Charger,Long-Distance Traveler
User_491,Punch.EV,85,Station_44,Mumbai,15.25417073,3.308464005,6.762530034,1.640802843,Evening,Thursday,42.74181829,88.23131388,-2.25831715,Level 1,Commuter
User_492,Hyundai Kona,85,Station_330,Mumbai,45.0685333,1.712579576,41.03311514,7.398448665,Night,Sunday,51.66193909,92.05776183,37.01416735,Level 1,Long-Distance Traveler
User_495,Hyundai Kona,75,Station_378,Mumbai,64.87047474,3.233908962,38.98816937,5.19759077,Night,Tuesday,26.65071179,56.3647707,27.33409428,Level 1,Casual Driver
User_496,Punch.EV,50,Station_390,Mumbai,25.13233553,1.899860257,16.20549351,32.61585547,Night,Monday,25.68434812,94.52863671,40.25549686,Level 1,Commuter
User_504,TATA Curvv,85,Station_120,Mumbai,67.45124177,0.849602113,45.01922284,28.34227905,Evening,Friday,36.06774243,61.52733401,20.70521874,DC Fast Charger,Casual Driver
User_506,Punch.EV,75,Station_405,Mumbai,21.81937874,1.989251571,,34.25780158,Evening,Monday,77.21863836,96.77280778,38.08420738,Level 1,Casual Driver
User_521,TATA Tiago,85,Station_352,Mumbai,60.12372287,2.969014435,30.65934381,19.6272772,Night,Friday,30.09851055,86.7579399,34.63224699,DC Fast Charger,Long-Distance Traveler
User_529,Hyundai Kona,62,Station_426,Mumbai,28.57887808,0.977279788,18.89050926,36.55775619,Afternoon,Wednesday,25.48787822,91.4661195,17.67509365,DC Fast Charger,Long-Distance Traveler
User_530,Hyundai Kona,62,Station_32,Mumbai,21.13404478,3.898518143,32.2920457,10.72715124,Night,Sunday,44.71421516,79.20117924,-1.212120196,Level 2,Long-Distance Traveler
User_533,MG Comet,50,Station_25,Mumbai,79.39006382,2.714307816,19.13778917,21.85267826,Morning,Saturday,63.91237042,87.44451137,14.46130434,Level 2,Commuter
User_539,MG Comet,85,Station_232,Mumbai,43.4665651,4.141746359,34.69206917,32.2061168,Morning,Thursday,49.71687028,75.84852337,-8.771230053,Level 2,Casual Driver
User_555,Hyundai Kona,85,Station_84,Mumbai,64.60983161,1.226894334,3.991359551,37.08082729,Morning,Wednesday,21.98287037,72.93984362,17.10924053,Level 1,Long-Distance Traveler
User_560,TATA Tiago,62,Station_402,Mumbai,34.38288065,2.520933069,6.558201297,22.8763766,Night,Sunday,51.16789791,88.32990473,-9.825102182,Level 1,Long-Distance Traveler
User_564,TATA Tiago,75,Station_72,Mumbai,37.42669941,2.353524458,16.98014038,5.466831569,Afternoon,Tuesday,94.43594757,90.5370852,15.35617755,Level 1,Casual Driver
User_567,TATA Curvv,85,Station_172,Mumbai,75.62248861,1.747279577,16.79147373,30.05461855,Morning,Sunday,72.63725302,68.33086516,38.10561785,DC Fast Charger,Commuter
User_570,TATA Curvv,75,Station_343,Mumbai,66.85109294,2.587561871,20.27113939,38.77129432,Evening,Tuesday,24.35122821,61.21435182,35.22549699,DC Fast Charger,Long-Distance Traveler
User_571,MG Comet,62,Station_436,Mumbai,32.34799933,3.914681797,15.17023592,16.52347117,Morning,Sunday,71.05173681,83.00801294,11.65767977,DC Fast Charger,Casual Driver
User_576,Hyundai Kona,100,Station_218,Mumbai,10.24188589,0.563698573,21.4576929,15.08908219,Evening,Monday,30.14072124,85.00767894,16.33993683,Level 2,Long-Distance Traveler
User_589,TATA Tiago,62,Station_275,Mumbai,71.97510218,1.057536324,23.65002521,32.02073545,Morning,Monday,63.10375471,63.99918589,21.52620216,Level 2,Commuter
User_594,MG Comet,62,Station_208,Mumbai,75.40700954,3.15448654,17.72970872,9.081870691,Evening,Sunday,32.02965793,101.6052792,12.4570578,Level 2,Commuter
User_599,Hyundai Kona,85,Station_309,Mumbai,28.27985715,2.693719409,13.22697476,24.96372469,Evening,Tuesday,62.57412042,88.35855053,12.38716533,Level 2,Commuter
User_602,TATA Tiago,50,Station_57,Mumbai,21.42275953,0.734879615,9.189077429,28.07289558,Afternoon,Monday,86.4947654,52.98111186,12.04385004,DC Fast Charger,Commuter
User_609,MG Comet,50,Station_339,Mumbai,22.01644361,1.269157599,41.19625064,35.94010098,Morning,Monday,23.66561092,74.89872942,11.54438093,Level 1,Casual Driver
User_618,MG Comet,85,Station_76,Mumbai,49.73870005,2.015517255,32.86836958,19.58495549,Night,Wednesday,85.72764732,52.82854415,7.812917021,DC Fast Charger,Commuter
User_620,TATA Tiago,100,Station_459,Mumbai,44.95337165,1.592375622,34.04003944,26.37865051,Night,Saturday,66.85003619,61.31395763,22.59449152,Level 1,Casual Driver
User_622,MG Comet,62,Station_156,Mumbai,44.06215479,2.714331888,12.63772843,5.449246049,Morning,Sunday,74.68318534,73.06427881,3.802174549,Level 2,Casual Driver
User_628,MG Comet,75,Station_258,Mumbai,38.59813941,1.369419618,26.5629522,45.04426936,Evening,Saturday,37.92749853,75.10094365,6.16119138,Level 2,Long-Distance Traveler
User_639,TATA Tiago,62,Station_254,Mumbai,79.75044564,3.43346384,,12.67489617,Evening,Saturday,19.73375144,69.33144338,29.39445354,DC Fast Charger,Commuter
User_640,Hyundai Kona,85,Station_188,Mumbai,66.89909636,2.769485464,39.32414111,17.09197469,Morning,Tuesday,22.59313605,75.40468289,-4.073387953,DC Fast Charger,Commuter
User_642,Hyundai Kona,50,Station_32,Mumbai,40.05179662,1.039744909,26.32801687,36.04711966,Morning,Saturday,21.78035695,92.33198159,30.28535776,DC Fast Charger,Casual Driver
User_644,TATA Curvv,62,Station_485,Mumbai,38.36041213,1.296983426,38.34376389,10.22554197,Night,Tuesday,72.50501027,86.30071772,5.501271669,DC Fast Charger,Long-Distance Traveler
User_645,Hyundai Kona,75,Station_397,Mumbai,6.337534265,0.941406248,4.315961671,12.54793256,Morning,Wednesday,44.29225743,55.5236463,26.7089408,Level 1,Long-Distance Traveler
User_646,MG Comet,100,Station_5,Mumbai,6.97877135,2.891860216,35.78892354,23.11595887,Morning,Tuesday,23.83153159,78.77996734,27.35537043,DC Fast Charger,Casual Driver
User_648,Hyundai Kona,50,Station_330,Mumbai,62.42036137,2.50003528,29.9083034,8.075374255,Night,Thursday,119.0511075,50.38374048,23.66715836,DC Fast Charger,Casual Driver
User_661,Hyundai Kona,75,Station_412,Mumbai,23.8368801,2.853649233,12.32951236,36.23594104,Night,Sunday,63.19883628,73.81270846,29.02876366,Level 1,Commuter
User_662,MG Comet,47.65326138,Station_416,Mumbai,29.34959504,2.559701573,30.32389572,13.5072117,Morning,Tuesday,72.60499922,22.27521585,36.69341868,Level 1,Commuter
User_670,Punch.EV,50,Station_65,Mumbai,69.71594631,3.783098446,10.06309377,37.11929537,Evening,Saturday,20.4323108,79.5199883,-4.478051973,DC Fast Charger,Long-Distance Traveler
User_672,Punch.EV,50,Station_11,Mumbai,69.42235104,1.937366869,9.889820742,10.83495891,Evening,Monday,29.13398079,99.88715307,37.26821495,DC Fast Charger,Casual Driver
User_676,Hyundai Kona,105.5549669,Station_421,Mumbai,48.50288659,3.256956589,43.60970746,13.98407365,Night,Monday,28.20893507,64.31222001,23.8877427,Level 2,Casual Driver
User_678,TATA Curvv,75,Station_221,Mumbai,45.4711888,2.957746789,48.01145593,7.388725699,Morning,Sunday,56.83137688,89.62384239,26.50442557,Level 1,Commuter
User_686,Punch.EV,75,Station_424,Mumbai,51.20692409,1.288106025,9.977877022,24.57716644,Afternoon,Wednesday,67.38758549,59.75759843,12.32250456,Level 2,Commuter
User_687,Hyundai Kona,101.1029879,Station_461,Mumbai,7.275443511,2.690603255,21.06032431,34.65404091,Night,Saturday,12.88478096,72.45174831,26.95365853,Level 2,Commuter
User_694,Punch.EV,85,Station_68,Mumbai,47.19744469,1.551271282,23.43002275,9.988472791,Night,Friday,74.87748788,94.07356949,28.41994109,Level 1,Casual Driver
User_700,MG Comet,62,Station_409,Mumbai,24.40113304,1.478023096,31.11524448,24.13463552,Afternoon,Tuesday,65.98351537,51.25486777,23.59028973,Level 1,Long-Distance Traveler
User_708,TATA Curvv,193.0030739,Station_220,Mumbai,42.74479257,1.180162501,40.2059876,14.25574828,Evening,Saturday,19.56303216,67.79633548,-4.172668306,Level 2,Casual Driver
User_713,MG Comet,75,Station_244,Mumbai,45.90925215,0.708738546,26.3121504,11.23449778,Night,Tuesday,40.71611726,97.28846478,28.40385151,Level 2,Commuter
User_714,TATA Curvv,75,Station_182,Mumbai,8.115370261,1.978147577,,26.84686353,Evening,Saturday,22.18992507,99.62809793,33.69115081,DC Fast Charger,Long-Distance Traveler
User_718,MG Comet,50,Station_197,Mumbai,21.30857255,3.735302162,28.04359239,39.92534587,Night,Tuesday,78.29829104,91.7160356,-5.46532879,DC Fast Charger,Casual Driver
