Vehicle Model,Battery Capacity (kWh),Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Temperature (°C),Charger Type,User Type
Punch.EV,85,46.61987333,1.56278776,7.388686338,-0.460756822,DC Fast Charger,Long-Distance Traveler
TATA Tiago,50,6.443672289,2.634529418,14.99241844,-4.275305327,Level 1,Long-Distance Traveler
TATA Tiago,50,62.04623037,0.922764651,18.56265579,-0.966443591,DC Fast Charger,Casual Driver
Hyundai Kona,100,71.70850688,5.444091596,38.79607655,2.616126227,Level 1,Casual Driver
MG Comet,85,44.01595166,1.324310297,38.10527791,5.879536154,Level 2,Casual Driver
Punch.EV,60.65969098,66.09153403,1.272887206,37.60056306,9.953924429,Level 2,Casual Driver
TATA Curvv,50,44.88676331,2.041257191,28.9773945,22.75372165,DC Fast Charger,Long-Distance Traveler
MG Comet,100,58.94085857,3.205348493,43.7022121,19.45757653,Level 2,Long-Distance Traveler
TATA Curvv,109.7951283,10.03981781,1.302941969,,35.14516183,Level 1,Long-Distance Traveler
TATA Curvv,85,29.75838484,2.155244183,29.38504741,-1.353331502,DC Fast Charger,Casual Driver
TATA Curvv,75,69.59647496,2.339041996,14.86068898,73.16958797,DC Fast Charger,Long-Distance Traveler
Punch.EV,100,8.234584116,0.90499338,43.81287256,38.56896076,Level 2,Commuter
Hyundai Kona,62,40.78700348,3.431847203,11.03185075,-0.658493238,Level 1,Long-Distance Traveler
TATA Curvv,82.66681121,18.79049305,1.639131351,38.26182989,-2.736637604,Level 2,Long-Distance Traveler
Hyundai Kona,85,34.89511327,1.603396901,4.881436199,-6.428742353,Level 1,Casual Driver
MG Comet,78.43167082,38.08536377,1.949003681,1.654937068,-5.9392058,Level 1,Long-Distance Traveler
MG Comet,85,68.56767861,1.558203166,16.475471,-9.831678296,Level 1,Casual Driver
MG Comet,75,59.76831247,3.253943971,35.05498942,18.16464336,Level 2,Long-Distance Traveler
MG Comet,62,36.70152016,1.872489738,19.12193264,30.28584754,Level 1,Casual Driver
MG Comet,75,15.72955117,3.882674593,38.31515901,10.75337783,Level 2,Long-Distance Traveler
Hyundai Kona,85,34.07799973,2.364887015,12.59762021,5.369915824,Level 1,Commuter
TATA Curvv,50,23.19329022,2.007710443,31.98319246,17.07536932,Level 1,Casual Driver
TATA Curvv,75,9.206012695,2.220907251,47.65616728,20.77797923,Level 2,Commuter
TATA Curvv,100,56.1150925,1.05741593,5.488039505,36.59253901,Level 1,Commuter
TATA Tiago,50,15.89873423,3.165199902,40.44452193,-5.068598814,Level 1,Long-Distance Traveler
TATA Tiago,85,41.15701391,3.263498398,46.12968887,29.4542124,Level 2,Casual Driver
MG Comet,62,90.23550358,1.285990167,4.841450613,36.3683292,Level 1,Long-Distance Traveler
MG Comet,62,18.10247227,1.934688459,41.55273261,1.102630909,DC Fast Charger,Casual Driver
Hyundai Kona,62,79.97267191,1.157943552,37.46218915,16.05241314,Level 1,Casual Driver
TATA Tiago,50,5.163807088,3.910006446,5.265203285,-9.824574766,DC Fast Charger,Casual Driver
Hyundai Kona,85,45.45344885,1.441090893,28.19404206,28.51369445,DC Fast Charger,Commuter
MG Comet,75,59.16864336,2.765621657,15.22251353,29.06368772,DC Fast Charger,Long-Distance Traveler
MG Comet,100,77.12500791,1.233524687,39.42909617,-3.663579909,Level 1,Casual Driver
TATA Tiago,100,8.28243854,1.245288417,11.01799661,-2.64529743,DC Fast Charger,Commuter
Hyundai Kona,100,27.70606779,2.85834951,45.32674459,19.02928781,Level 1,Commuter
Hyundai Kona,50,5.755524649,2.290446688,39.1270254,18.9627122,DC Fast Charger,Commuter
Hyundai Kona,100,9.206012695,2.858817714,14.83291702,18.45594163,DC Fast Charger,Casual Driver
Punch.EV,75,72.94073166,3.60922982,13.82503559,38.66696331,DC Fast Charger,Casual Driver
Hyundai Kona,50,47.49433927,2.287832255,21.67222574,-3.112536169,DC Fast Charger,Casual Driver
TATA Curvv,86.71809382,61.63104966,2.942916166,20.39119229,-6.983337242,Level 1,Long-Distance Traveler
TATA Curvv,75,77.63234569,3.306874018,11.17901456,2.21108395,DC Fast Charger,Commuter
Hyundai Kona,54.03223627,21.27074191,3.342356049,40.17685077,31.34685759,DC Fast Charger,Commuter
Punch.EV,50,12.89314236,2.141299952,17.34136646,20.05511243,Level 2,Casual Driver
Punch.EV,62,43.4665651,1.281602665,36.60130618,12.23564457,Level 1,Commuter
TATA Curvv,50,43.12603812,2.76539079,5.766635774,31.05761684,Level 2,Commuter
TATA Tiago,62,11.32191413,1.821809688,39.95811626,-0.886886899,Level 1,Long-Distance Traveler
TATA Curvv,50,26.58671022,1.724436589,24.45076324,5.320091462,Level 1,Long-Distance Traveler
TATA Tiago,75,5.892835164,1.235989774,40.77682699,16.89229648,Level 2,Commuter
Hyundai Kona,100,47.67827375,1.424909572,37.74994618,27.78096351,Level 1,Long-Distance Traveler
Punch.EV,75,61.11752874,0.548377714,37.24649566,-2.462733809,Level 2,Commuter
MG Comet,62,26.44403312,3.692237458,27.1214299,14.39410549,Level 1,Commuter
Punch.EV,100,42.0179595,0.730265847,13.30298668,14.64185295,DC Fast Charger,Long-Distance Traveler
MG Comet,50,28.80292498,0.758400248,45.51884431,-0.257359046,DC Fast Charger,Casual Driver
Punch.EV,100,85.03985431,3.708384638,26.7265968,22.66992027,Level 1,Casual Driver
TATA Curvv,50,47.76784734,2.679451387,32.99434153,15.36325798,Level 1,Long-Distance Traveler
MG Comet,62,57.45442117,1.121155295,35.73022937,33.49059845,Level 2,Casual Driver
Hyundai Kona,50,49.53480946,0.805284486,42.13698966,4.52437496,DC Fast Charger,Casual Driver
MG Comet,62,8.315805795,0.728101986,11.73724408,35.82177611,Level 2,Long-Distance Traveler
TATA Curvv,50,10.18500019,3.411449704,29.83066536,26.52415548,Level 1,Commuter
TATA Tiago,85,21.7953825,1.171874032,37.7362187,-4.052803771,Level 2,Long-Distance Traveler
Hyundai Kona,81.06203029,43.4665651,1.695958327,13.48724207,13.73785617,Level 1,Long-Distance Traveler
Hyundai Kona,50,74.27670058,2.849151428,25.07354432,7.731967314,Level 2,Commuter
MG Comet,75,39.73385255,1.249296291,21.39560578,24.10895296,Level 1,Casual Driver
